Nodes, Edges, Kruskals (ms), Prims (ms)

10,18,291,254
20,19,418,412
30,44,714,570
40,780,3385,4729
10,25,286,248
200,1990,8945,29243
30,435,1473,1913
100,1980,5817,13933
100,2673,6039,15588
20,27,128,190
300,16595,35151,206062
65,874,2131,4934
100,2673,8487,20183
20,27,342,331
300,16595,48686,224708
65,874,1979,4324
250,16808,34075,181546
200,13930,28920,116513
275,15070,31145,170753
226,15255,31924,148202
150,7823,16702,54916
160,7632,15625,56358
140,7784,15976,52972
155,8952,19111,62831
25,300,677,948
50,1225,2794,5421
75,2775,6248,13198
100,4950,10935,26159
100,4950,11332,27330
150,11175,23484,74128
200,19900,39806,157185
250,31125,63881,285563
250,31125,65469,284269
300,44850,89746,481287
350,61075,123531,730227
400,79800,159335,1053142
250,18675,39304,197294
300,26910,54826,302218
350,36645,74766,468706
400,47880,98017,692614
250,18675,37825,186696
300,26910,56782,319009
350,36645,75595,477267
400,47880,98157,688112
250,18675,80900,328174
300,26910,142796,585262
350,36645,156332,826562
400,47880,157725,1163041
100,614,3934,7429
1000,62557,236539,3242793
500,15621,45699,453115
1000,187310,556946,9944478
100,614,2394,6752
1000,62557,205252,3194947
500,15621,47306,452412
1000,187310,549639,9402744
100,1229,7747,17727
1000,125114,375400,5948960
500,31242,94962,827078
1000,374621,1131244,16319793
